a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.50-1
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.29-2
adwaita-icon-theme 3.28.0-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.6-1
alsa-plugins 1.1.6-2
alsa-utils 1.1.6-1
android-tools 9.0.0_r3-1
android-udev 20180715-1
aom 1.0.0-1
appimagelauncher 1.0alpha+git20180816.a156d12-1
appstream-glib 0.7.10-1
apr 1.6.3-1
apr-util 1.6.1-3
archlinux-appstream-data 20180712-1
archlinux-keyring 20180808-1
argon2 20171227-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.48-1
audacious 3.9-1
audacious-plugins 3.9-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7+16+g1cc2b8e-2
b43-fwcutter 019-2
babl 0.1.52-1
bash 4.4.023-2
bashrc-manjaro 4.4.023-2
bc 1.07.1-1
binutils 2.31.1-3
bison 3.0.5-1
blas 3.8.0-2
blueman 2.0.5-3
bluez 5.50-3
bluez-libs 5.50-3
boost-libs 1.67.0-7
breath-wallpaper 0.4.0-1
brotli 1.0.5-2
btrfs-progs 4.17.1-1
bzip2 1.0.6-7
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.38-1
ca-certificates-utils 20170307-1
cairo 1.15.12-1
cairomm 1.12.2-2
cantarell-fonts 1:0.101-1
catfish 1.4.6-2
cdparanoia 10.2-7
celt 0.11.3-3
chromaprint 1.4.3-2
cifs-utils 6.8-2
ckbcomp 1.175-1
clucene 2.3.3.4-10
colord 1.4.3-2
coreutils 8.29-1
cpupower 4.18-1
cracklib 2.9.6-1
crda 4.14-1
cronie 1.5.1-1
cryptsetup 2.0.4-1
cups 2.2.8-3
cups-filters 1.20.4-2
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-1
curl 7.61.0-2
db 5.3.28-4
dbus 1.12.10-1
dbus-glib 0.110-1
dconf 0.28.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.181-1
dhclient 4.4.1-4
dhcpcd 7.0.7-1
diffutils 3.6-1
ding-libs 0.6.1-1
dmidecode 3.1-2
dmraid 1.0.0.rc16.3-11
dnsmasq 2.79-1
dnssec-anchors 20170711-1
dosfstools 4.1-1
double-conversion 3.0.0-1
e2fsprogs 1.44.3-1
ecryptfs-utils 111-2
efibootmgr 16-1
efivar 35-1
enchant 2.2.3-1
engrampa 1.20.1-1
exfat-utils 1.2.8-1
exiv2 0.26-2
exo 0.12.2-1
expat 2.2.5-1
f2fs-tools 1.11.0-2
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.23-1
farstream 0.2.8-1
ffmpeg 1:4.0.2-2
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.33-3
filesystem 2018.1-3
findutils 4.6.0-2
firefox 61.0.2-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.13.0+10+g58f5285-1
foomatic-db-engine 4:4.0.13-1
freeglut 3.0.0-2
freetype2 2.9.1-1
fribidi 1.0.5-1
fuse-common 3.2.5-1
fuse2 2.9.8-1
galculator-gtk2 2.1.4-3
gamin 0.1.10-9
garcon 0.6.1-1
gawk 4.2.1-1
gc 7.6.6-1
gcab 1.0+2+gc0947f6-1
gcc 8.2.0-2
gcc-libs 8.2.0-2
gconf 3.2.6+11+g07808097-3
gcr 3.28.0-3
gd 2.2.5-1
gdbm 1.17-1
gdk-pixbuf2 2.36.12-1
gegl 0.4.4-1
geoclue2 2.4.10-1.2
gettext 0.19.8.1-2
ghostscript 9.23-2
giflib 5.1.4-1
gimp 2.10.4-2
git 2.18.0-1
gksu-polkit 0.0.3-1
glew 2.1.0-1
glib-networking 2.56.1-1
glib2 2.56.1-1
glibc 2.28-4
glibmm 2.56.0-1
glu 9.0.0-5
gmp 6.1.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-keyring 1:3.28.2-1
gnome-menus 3.13.3+30+g510ef1c-1
gnome-themes-extra 3.28-1
gnupg 2.2.9-1
gnutls 3.5.19-1
gobject-introspection-runtime 1.56.1-1
gparted 0.31.0-1
gpgme 1.11.1-2
gpm 1.20.7-8
gptfdisk 1.0.4-1
graphene 1.8.2-1
graphite 1:1.3.11-1
grep 3.1-1
groff 1.22.3-7
grub 2.03.0-7.1
gsettings-desktop-schemas 3.28.0+1+g85521dc-1
gsfonts 20170829-1
gsm 1.0.18-1
gssproxy 0.8.0-1
gst-libav 1.14.2-1
gst-plugins-bad 1.14.2-1
gst-plugins-base 1.14.2-1
gst-plugins-base-libs 1.14.2-1
gst-plugins-good 1.14.2-1
gst-plugins-ugly 1.14.2-3
gstreamer 1.14.2-1
gtest 1.8.0-1
gtk-engine-murrine 0.98.2-3
gtk-theme-breath 5.9.0-1
gtk-update-icon-cache 3.22.30-1
gtk-xfce-engine 2.10.1-1.1
gtk2 2.24.32-1
gtk3 3.22.30-1
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview3 3.24.8-1
gtkspell 2.0.16-7
gufw 18.04.0-2
guile 2.2.4-1
gvfs 1.36.2-3
gvfs-afc 1.36.2-3
gvfs-gphoto2 1.36.2-3
gvfs-mtp 1.36.2-3
gvfs-nfs 1.36.2-3
gvfs-smb 1.36.2-3
gzip 1.9-1
harfbuzz 1.8.8-1
harfbuzz-icu 1.8.8-1
haveged 1.9.4-2
hdparm 9.56-1
hexchat 2.14.1-6
hicolor-icon-theme 0.17-1
hplip 3.18.7-3.1
hspell 1.4-1
htop 2.2.0-2
hunspell 1.6.2-1
hunspell-en_US 2018.04.16-5
hwids 20180518-1
hwinfo 21.53-1
hyphen 2.8.8-2
iana-etc 20180221-1
icu 62.1-1
ijs 0.35-1
ilmbase 2.2.1-4
imagemagick 7.0.8.10-1
imlib2 1.5.1-1
inetutils 1.9.4-5
iniparser 4.1-1
intel-tbb 2018_20180618-1
intel-ucode 20180807-1
intltool 0.51.0-3
inxi 3.0.20-1
iproute2 4.18.0-1
iptables 1.6.2-2
iputils 20180629.f6aac8d-2
ipw2100-fw 1.3-8
ipw2200-fw 3.1-6
iso-codes 3.76-1
iw 4.14-1
jack 0.125.0-3
jansson 2.11-1
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.14-1
jdk8-openjdk 8.u181-1
jfsutils 1.1.15-5
jre8-openjdk 8.u181-1
jre8-openjdk-headless 8.u181-1
js52 52.9.0-1
json-c 0.13.1-1
json-glib 1.4.2-2
kauth 5.48.0-3
kbd 2.0.4-1
kcoreaddons 5.48.0-3
keyutils 1.5.10-2
kitemmodels 5.48.0-3
kmod 25-1
krb5 1.16.1-1
l-smash 2.14.5-1
ladspa 1.13-7
lame 3.100-2
lapack 3.8.0-2
lcms 1.19-7
lcms2 2.9-1
ldb 1:1.3.4-2
ldns 1.7.0-4
lensfun 0.3.2-7
less 530-1
lib32-alsa-lib 1.1.6-1
